	id	from	to	nameslabel
68	MAR08574	maltohexaose|ic	fructose|ic	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
69	MAR08574	maltohexaose|ic	maltopentaose|ic	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
70	MAR08575	maltohexaose|e	glucose|e	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
71	MAR08575	maltohexaose|e	maltopentaose|e	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
72	MAR08576	maltopentaose|ic	maltotetraose|ic	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
73	MAR08576	maltopentaose|ic	fructose|ic	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
74	MAR08577	maltopentaose|e	glucose|e	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
75	MAR08577	maltopentaose|e	maltotetraose|e	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
76	MAR08578	maltotetraose|ic	maltotriose|ic	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
77	MAR08578	maltotetraose|ic	fructose|ic	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
78	MAR08579	maltotetraose|e	glucose|e	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
79	MAR08579	maltotetraose|e	maltotriose|e	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
80	MAR08581	maltotriose|e	glucose|e	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
81	MAR08581	maltotriose|e	maltose|e	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
82	MAR08591	maltotriose|ic	glucose|ic	GANC MGAM
83	MAR08591	maltotriose|ic	maltose|ic	GANC MGAM
84	MAR08592	maltotriose|ic	glucose|ic	GAA
85	MAR08592	maltotriose|ic	maltose|ic	GAA
86	MAR08580	maltotriose|ic	fructose|ic	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
87	MAR08580	maltotriose|ic	maltose|ic	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
88	MAR08582	maltose|ic	fructose|ic	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
89	MAR08587	maltose|ic	glucose|ic	GANC MGAM
90	MAR08589	maltose|ic	glucose|ic	GAA
91	MAR08583	starch structure 1|e	starch structure 2|e	MGAM
92	MAR08583	starch structure 1|e	glucose|e	MGAM
93	MAR08584	starch structure 2|e	glucose|e	SI
94	MAR08584	starch structure 2|e	maltose|e	SI
95	MAR08585	1,3-bisphospho-D-glycerate|ic	3-phospho-D-glycerate|ic	PGM2L1
96	MAR08585	1,3-bisphospho-D-glycerate|ic	glucose-1,6-bisphosphate|ic	PGM2L1
97	MAR08585	glucose-1-phosphate|ic	3-phospho-D-glycerate|ic	PGM2L1
98	MAR08585	glucose-1-phosphate|ic	glucose-1,6-bisphosphate|ic	PGM2L1
99	MAR03944	UTP|ic	UDP-glucose|ic	UGP2
100	MAR03944	glucose-1-phosphate|ic	UDP-glucose|ic	UGP2
101	MAR04128	UDP-galactose|ic	UDP-glucose|ic	GALE
102	MAR04130	galactose|ic	alpha-D-galactose-1-phosphate|ic	GALK1 GALK2
103	MAR04131	UDP-galactose|ic	UDP-glucose|ic	GALT
104	MAR04131	UDP-galactose|ic	alpha-D-galactose-1-phosphate|ic	GALT
105	MAR04131	glucose-1-phosphate|ic	UDP-glucose|ic	GALT
106	MAR04131	glucose-1-phosphate|ic	alpha-D-galactose-1-phosphate|ic	GALT
107	MAR04132	galactose-1-phosphate|ic	UDP-galactose|ic	GALT
108	MAR04132	galactose-1-phosphate|ic	glucose-1-phosphate|ic	GALT
109	MAR04132	UDP-glucose|ic	UDP-galactose|ic	GALT
110	MAR04132	UDP-glucose|ic	glucose-1-phosphate|ic	GALT
111	MAR04303	sucrose|e	glucose|e	SI GAA GANC MGAM
112	MAR04303	sucrose|e	fructose|e	SI GAA GANC MGAM
113	MAR04414	galactose|ic	galactose-1-phosphate|ic	GALK1 GALK2 FAM227B
114	MAR04415	lactose|e	glucose|e	LCT GLB1L GLB1 TMPPE
115	MAR04415	lactose|e	galactose|e	LCT GLB1L GLB1 TMPPE
116	MAR04416	galactosylglycerol|e	galactose|e	GLA GLB1 RPL36A
117	MAR04416	galactosylglycerol|e	glycerol|e	GLA GLB1 RPL36A
118	MAR04774	tagatose-1,6-bisphosphate|ic	D-tagatose-6-phosphate|ic	PFKP PFKL PFKM
119	MAR04774	tagatose-1,6-bisphosphate|ic	CTP|ic	PFKP PFKL PFKM
120	MAR04775	ITP|ic	tagatose-1,6-bisphosphate|ic	PFKP PFKL PFKM
121	MAR04775	ITP|ic	IDP|ic	PFKP PFKL PFKM
122	MAR04775	D-tagatose-6-phosphate|ic	tagatose-1,6-bisphosphate|ic	PFKP PFKL PFKM
123	MAR04775	D-tagatose-6-phosphate|ic	IDP|ic	PFKP PFKL PFKM
124	MAR04832	glucose|e	3-ketolactose|e	LCT GLB1L GLB1 TMPPE
125	MAR04832	3-keto-beta-D-galactose|e	3-ketolactose|e	LCT GLB1L GLB1 TMPPE
126	MAR07674	glucose|ic	lactose|ic	B4GALT1 B4GALT2 LALBA
127	MAR07674	UDP-galactose|ic	lactose|ic	B4GALT1 B4GALT2 LALBA
128	MAR08761	D-tagatose|ic	D-tagatose-6-phosphate|ic	KHK
129	MAR08762	D-tagatose-6-phosphate|ic	DHAP|ic	ALDOC ALDOB ALDOA 
130	MAR08762	D-tagatose-6-phosphate|ic	glyceraldehyde|ic	ALDOC ALDOB ALDOA 
131	MAR08764	lactose|ic	glucose|ic	LCT
132	MAR08764	lactose|ic	galactose|ic	LCT
133	MAR08766	galactose|ic	galactitol|ic	AKR1B1 AKR1B10
134	MAR08767	UTP|ic	UDP-galactose|ic	GALT
135	MAR08767	alpha-D-galactose-1-phosphate|ic	UDP-galactose|ic	GALT
136	MAR04297	fructose-6-phosphate|ic	fructose-2,6-bisphosphate|ic	PFKFB4 PFKFB2 PFKFB1 PFKFB3
137	MAR04310	fructose|ic	fructose-1-phosphate|ic	KHK
138	MAR04315	D-glucitol|ic	fructose|ic	SORD
139	MAR04316	D-glucitol|ic	glucose|ic	AKR1B1 AKR1B10
140	MAR04317	D-glucitol|ic	sorbitol-3-phosphate|ic	FAM20B FN3KRP NOL9 FN3K FGGY
141	MAR04318	fructose|ic	fructose-3-phosphate|ic	FAM20B FN3KRP NOL9 FN3K FGGY
142	MAR04319	fructose|ic	fructose-6-phosphate|ic	HKDC1 HK1 HK2 HK3
143	MAR04320	mannose-1-phosphate|ic	D-mannose-1,6-bisphosphate|ic	FAM20B FN3KRP NOL9 FN3K FGGY
144	MAR04356	DHAP|ic	fructose-1-phosphate|ic	ALDOC ALDOB ALDOA 
145	MAR04356	glyceraldehyde|ic	fructose-1-phosphate|ic	ALDOC ALDOB ALDOA 
146	MAR04383	fructose-6-phosphate|ic	mannose-6-phosphate|ic	MPI
147	MAR04385	mannose-6-phosphate|ic	mannose-1-phosphate|ic	POLR3H PMM1 PMM2
148	MAR04386	mannose-1-phosphate|ic	GDP-mannose|ic	GMPPA RNF123 GMPPB AMIGO3
149	MAR04387	GTP|ic	GDP-mannose|ic	GMPPA GMPPB AMIGO3
150	MAR04387	mannose-1-phosphate|ic	GDP-mannose|ic	GMPPA GMPPB AMIGO3
151	MAR04399	GDP-mannose|ic	GDP-4-dehydro-6-deoxy-D-mannose|ic	GMDS
152	MAR04400	GDP-4-dehydro-6-deoxy-D-mannose|ic	GDP-L-fucose|ic	GFUS
153	MAR04401	GDP-L-fucose|ic	GTP|ic	TNNI3K FPGT FPGT-TNNI3K
154	MAR04401	GDP-L-fucose|ic	L-fucose-1-phosphate|ic	TNNI3K FPGT FPGT-TNNI3K
155	MAR04402	6-deoxy-L-galactose|ic	L-fucose-1-phosphate|ic	FCSK
156	MAR04490	mannose|ic	mannose-6-phosphate|ic	HKDC1 HK1 HK2 HK3
157	MAR04706	fructose-2,6-bisphosphate|ic	fructose-6-phosphate|ic	TIGAR DLX4 PFKFB4 PFKFB2 PFKFB1 PFKFB3
158	MAR08768	GDP-4-dehydro-6-deoxy-D-mannose|ic	GDP-L-fucose|ic	GFUS
159	MAR04590	L-xylulose|ic	xylitol|ic	DCXR
160	MAR04591	xylitol|ic	L-xylulose|ic	PECR MECR
161	MAR04592	D-xylose|ic	xylitol|ic	AKR1B1 AKR1B10
162	MAR04593	xylitol|ic	D-xylulose|ic	SORD
163	MAR04594	D-xylose|ic	D-xylonolactone|ic	DHDH
164	MAR04595	D-xylulose-5-phosphate|ic	D-xylulose|ic	XYLB
165	MAR08341	L-arabinose|ic	L-arabitol|ic	AKR7A2 AKR1B1 AKR1A1
166	MAR08344	glucuronate|ic	L-gulonate|ic	AKR1A1
167	MAR08352	3-dehydro-L-gulonate|ic	L-gulonate|ic	CRYL1
168	MAR08726	D-ribulose|ic	ribulose-5-phosphate|ic	RBKS
169	MAR08727	UDP-glucuronate|ic	D-glucuronate 1-phosphate|ic	ALG5
170	MAR08729	UDP-glucuronate|ic	glucuronate|ic	UXS1
171	MAR06537	glucuronate|ic	L-gulonate|ic	AKR1A1
172	MAR01568	acetaldehyde|ic	acetate|ic	ALDH3B1 ALDH3A1 ALDH3B2 ALDH1A3
173	MAR03853	GSH|ic	(R)-S-lactoylglutathione|ic	GLO1 GLOD4
174	MAR03853	methylglyoxal|ic	(R)-S-lactoylglutathione|ic	GLO1 GLOD4
175	MAR03854	methylglyoxal|ic	lactaldehyde|ic	AKR1B1 AKR1B10
176	MAR03855	lactaldehyde|ic	propane-1,2-diol|ic	AKR1B1 AKR1B10
177	MAR03857	(R)-S-lactoylglutathione|ic	GSH|ic	HAGH HAGHL
178	MAR03857	(R)-S-lactoylglutathione|ic	D-lactate|ic	HAGH HAGHL
179	MAR03859	D-lactate|ic	ferrocytochrome C|ic	LDHD CYB5D1
180	MAR03859	D-lactate|ic	pyruvate|ic	LDHD CYB5D1
181	MAR03859	ferricytochrome C|ic	ferrocytochrome C|ic	LDHD CYB5D1
182	MAR03859	ferricytochrome C|ic	pyruvate|ic	LDHD CYB5D1
183	MAR04087	malate|ic	pyruvate|ic	ME2 ME3
184	MAR04089	malate|ic	pyruvate|ic	RWDD2A ME1
185	MAR04091	malate|ic	pyruvate|ic	ME2 ME3
186	MAR04101	OAA|ic	PEP|ic	PCK1
187	MAR04101	GTP|ic	PEP|ic	PCK1
188	MAR04103	OAA|ic	PEP|ic	PCK2
189	MAR04103	GTP|ic	PEP|ic	PCK2
190	MAR04143	HCO3-|ic	OAA|ic	PC
191	MAR04143	pyruvate|ic	OAA|ic	PC
192	MAR04193	PEP|ic	CTP|ic	PKM PKLR
193	MAR04193	PEP|ic	pyruvate|ic	PKM PKLR
194	MAR08497	methylglyoxal|ic	hydroxyacetone|ic	AKR7A2 AKR1B1 AKR1A1
195	MAR08498	acetone|ic	hydroxyacetone|ic	CYP2E1
196	MAR08499	hydroxyacetone|ic	methylglyoxal|ic	CYP2E1
197	MAR08500	hydroxyacetone|ic	propane-1,2-diol|ic	AKR7A2 AKR1B1 AKR1A1
198	MAR08501	methylglyoxal|ic	D-lactaldehyde|ic	GRHPR
199	MAR08502	(R)-S-lactoylglutathione|ic	GSH|ic	ADHFE1 ADH6 ADH1A ADH7 ADH1B ADH5 ADH4 ADH1C
200	MAR08502	(R)-S-lactoylglutathione|ic	D-lactaldehyde|ic	ADHFE1 ADH6 ADH1A ADH7 ADH1B ADH5 ADH4 ADH1C
201	MAR08503	lactaldehyde|ic	L-lactate|ic	ALDH3B1 ALDH3A2 ALDH3A1 ALDH3B2 ALDH9A1 ALDH7A1 ALDH1A3
202	MAR08504	D-lactaldehyde|ic	D-lactate|ic	ALDH3A2 ALDH2 ALDH1B1 ALDH9A1 ALDH7A1
203	MAR08506	lactaldehyde|ic	L-lactate|ic	ALDH3A2 ALDH2 ALDH1B1 ALDH9A1 ALDH7A1
204	MAR08507	propane-1,2-diol|ic	D-lactaldehyde|ic	ADHFE1 ADH6 ZADH2 ADH1A ADH7 ADH1B ADH5 ADH4 ADH1C
205	MAR08508	propane-1,2-diol|ic	lactaldehyde|ic	ADHFE1 ADH6 ZADH2 ADH1A ADH7 ADH1B ADH5 ADH4 ADH1C
206	MAR08509	D-lactaldehyde|ic	propane-1,2-diol|ic	AKR7A2 AKR1B1 AKR1A1
207	MAR08511	(R)-S-lactoylglutathione|ic	GSH|ic	HAGH HAGHL
208	MAR08511	(R)-S-lactoylglutathione|ic	D-lactate|ic	HAGH HAGHL
209	MAR08512	D-lactate|ic	pyruvate|ic	LDHD
210	MAR08514	L-lactate|ic	ferrocytochrome C|ic	LDHD CYB5D1
211	MAR08514	L-lactate|ic	pyruvate|ic	LDHD CYB5D1
212	MAR08514	ferricytochrome C|ic	ferrocytochrome C|ic	LDHD CYB5D1
213	MAR08514	ferricytochrome C|ic	pyruvate|ic	LDHD CYB5D1
214	MAR08516	DHAP|ic	methylglyoxal|ic	AUH
215	MAR04280	pyruvate|ic	L-lactate|ic	LDHB LDHA UEVLD LDHC LDHAL6A LDHAL6B
216	MAR00153	propanoate|ic	propanoyl-CoA|ic	ACSS3 ACSS2 ACSS1
217	MAR03212	propanoyl-CoA|ic	acrylyl-CoA|ic	ACAD10 ACADM ACADS ACAD8 ACAD9 ACADSB ACAD11
218	MAR03212	propanoyl-CoA|ic	FADH2|ic	ACAD10 ACADM ACADS ACAD8 ACAD9 ACADSB ACAD11
219	MAR03212	FAD|ic	acrylyl-CoA|ic	ACAD10 ACADM ACADS ACAD8 ACAD9 ACADSB ACAD11
220	MAR03212	FAD|ic	FADH2|ic	ACAD10 ACADM ACADS ACAD8 ACAD9 ACADSB ACAD11
221	MAR03797	propanoyl-CoA|ic	propanoate|ic	ACSS3 ACSS2 ACSS1
222	MAR03800	2-oxobutyrate|ic	propanoyl-CoA|ic	BCKDHB DLD DBT BCKDHA
223	MAR04331	propanoyl-CoA|ic	propinol adenylate|ic	ACSS3 ACSS2 ACSS1
224	MAR04459	propanoate|ic	propinol adenylate|ic	ACSS3 ACSS2 ACSS1
225	MAR04460	propanoate|ic	propinol adenylate|ic	ACSS3 ACSS2 ACSS1
226	MAR04497	hydracrylate|ic	3-oxopropanoate|ic	DHCR24
227	MAR04741	3-hydroxypropionyl-CoA|ic	hydracrylate|ic	HIBCH
228	MAR09804	3-hydroxypropionyl-CoA|ic	3-oxopropionyl-CoA|ic	HSD17B14 HSD3B7 DHRS2 HTATIP2 RDH10 MDH1B RDH12 CBR4 CTBP1 RDH13 BDH2 HSD11B1L SDR9C7 SDR16C5 HSD11B2 SDR42E2 SDR42E1 WWOX AKR1C1 ADH5 AKR1B10 HSD17B11 AKR1C4 HSD17B8 AKR1B15 RDH14
229	MAR00718	FADH2|ic	2-hydroxyglutarate|ic	L2HGDH
230	MAR00718	FADH2|ic	FAD|ic	L2HGDH
231	MAR00718	AKG|ic	2-hydroxyglutarate|ic	L2HGDH
232	MAR00718	AKG|ic	FAD|ic	L2HGDH
233	MAR00719	AKG|ic	2-hydroxyglutarate|ic	PHGDH
234	MAR01436	acetoacetate|ic	acetoacetyl-CoA|ic	AACS
235	MAR03163	butyryl-CoA|ic	FADH2|ic	ACAD10 ACADM ACADS ACAD8 ACAD9 ACADSB ACAD11
236	MAR03163	butyryl-CoA|ic	crotonyl-CoA|ic	ACAD10 ACADM ACADS ACAD8 ACAD9 ACADSB ACAD11
237	MAR03163	FAD|ic	FADH2|ic	ACAD10 ACADM ACADS ACAD8 ACAD9 ACADSB ACAD11
238	MAR03163	FAD|ic	crotonyl-CoA|ic	ACAD10 ACADM ACADS ACAD8 ACAD9 ACADSB ACAD11
239	MAR04461	(R)-3-hydroxybutanoate|ic	acetoacetate|ic	BDH1 BDH2
240	MAR04604	acetoacetyl-CoA|ic	HMG-CoA|ic	HMGCS1
241	MAR05351	2-hydroxybutyrate|ic	2-oxobutyrate|ic	LDHB UEVLD LDHC LDHAL6A LDHAL6B
242	MAR07709	(R)-3-hydroxybutanoyl-CoA|ic	crotonyl-CoA|ic	ECHDC2
243	MAR04052	ribose-5-phosphate|ic	PRPP|ic	PRPS2 PRPS1 PRPS1L1
244	MAR04304	glucose-6-phosphate|ic	glucono-1,5-lactone-6-phosphate|ic	G6PD
245	MAR04306	glucono-1,5-lactone-6-phosphate|ic	glucose-6-phosphate|ic	G6PD
246	MAR04350	ribose-5-phosphate|ic	ribose|ic	BABAM2 RBKS
247	MAR04351	ribose-5-phosphate|ic	ribulose-5-phosphate|ic	RPIA
248	MAR04352	ribose-5-phosphate|ic	ribulose-5-phosphate|ic	RPIA
249	MAR04354	ribose-1-phosphate|ic	ribose-5-phosphate|ic	PGM1 PGM2
250	MAR04398	2-deoxy-D-ribose-5-phosphate|ic	acetaldehyde|ic	DERA
251	MAR04398	2-deoxy-D-ribose-5-phosphate|ic	GAP|ic	DERA
252	MAR04404	D-xylulose-5-phosphate|ic	GAP|ic	TKTL1 TKTL2 TKT
253	MAR04404	D-xylulose-5-phosphate|ic	fructose-6-phosphate|ic	TKTL1 TKTL2 TKT
254	MAR04404	erythrose-4-phosphate|ic	GAP|ic	TKTL1 TKTL2 TKT
255	MAR04404	erythrose-4-phosphate|ic	fructose-6-phosphate|ic	TKTL1 TKTL2 TKT
256	MAR04473	6-phospho-D-gluconate|ic	ribulose-5-phosphate|ic	PGD
257	MAR04474	6-phospho-D-gluconate|ic	ribulose-5-phosphate|ic	PGD
258	MAR04476	6-phospho-D-gluconate|ic	D-gluconic acid|ic	SAT1 SAT2
259	MAR04477	D-xylulose-5-phosphate|ic	ribulose-5-phosphate|ic	RPE RPEL1
260	MAR04501	ribose-5-phosphate|ic	GAP|ic	TKTL1 TKTL2 TKT
261	MAR04501	ribose-5-phosphate|ic	sedoheptulose-7-phosphate|ic	TKTL1 TKTL2 TKT
262	MAR04501	D-xylulose-5-phosphate|ic	GAP|ic	TKTL1 TKTL2 TKT
263	MAR04501	D-xylulose-5-phosphate|ic	sedoheptulose-7-phosphate|ic	TKTL1 TKTL2 TKT
264	MAR04565	GAP|ic	erythrose-4-phosphate|ic	TALDO1
265	MAR04565	GAP|ic	fructose-6-phosphate|ic	TALDO1
266	MAR04565	sedoheptulose-7-phosphate|ic	erythrose-4-phosphate|ic	TALDO1
267	MAR04565	sedoheptulose-7-phosphate|ic	fructose-6-phosphate|ic	TALDO1
268	MAR04567	sedoheptulose-1,7-bisphosphate|ic	sedoheptulose-7-phosphate|ic	PFKP PFKL PFKM
269	MAR04568	sedoheptulose-1,7-bisphosphate|ic	UTP|ic	PFKP PFKL PFKM
270	MAR04568	sedoheptulose-1,7-bisphosphate|ic	sedoheptulose-7-phosphate|ic	PFKP PFKL PFKM
271	MAR09799	sedoheptulose|ic	sedoheptulose-7-phosphate|ic	SHPK
272	MAR09800	sedoheptulose|ic	sedoheptulose-1-phosphate|ic	KHK
273	MAR04623	glucono-1,5-lactone-6-phosphate|ic	6-phospho-D-gluconate|ic	H6PD PGLS
274	MAR04625	glucono-1,5-lactone-6-phosphate|ic	6-phospho-D-gluconate|ic	H6PD PGLS
275	MAR04710	2-deoxy-D-ribose-1-phosphate|ic	2-deoxy-D-ribose-5-phosphate|ic	PGM2 ST20
276	MAR04841	ribose|ic	ribitol|ic	ALDH3B1 ALDH3A1 ALDH3B2 ALDH1A3
277	MAR08074	deoxyribose|ic	2-deoxy-D-ribose-5-phosphate|ic	BABAM2 RBKS
278	MAR08653	glucono-1,5-lactone-6-phosphate|ic	glucose-6-phosphate|ic	H6PD PGLS
279	MAR04022	GTP|ic	cGMP|ic	GUCY1B1 GUCY1A1 GUCY2C ADCY2 GUCY2F ADCY7 ADCY4 GUCY2D ADCY3 ADCY10 GUCY1A2 ADCY8 NPR2 ADCY9 ADCY1 NPR1 ADCY5 ADCY6
280	MAR04038	FAICAR|ic	IMP|ic	ATIC
281	MAR04040	IMP|ic	xanthosine-5-phosphate|ic	IMPDH1 IMPDH2
282	MAR04042	aspartate|ic	adenylosuccinate|ic	ADSS2 ADSS1
283	MAR04042	GTP|ic	adenylosuccinate|ic	ADSS2 ADSS1
284	MAR04042	IMP|ic	adenylosuccinate|ic	ADSS2 ADSS1
285	MAR04046	glutamine|ic	glutamate|ic	GMPS
286	MAR04046	xanthosine-5-phosphate|ic	glutamate|ic	GMPS
287	MAR04171	PEP|ic	pyruvate|ic	PKM PKLR
288	MAR04171	PEP|ic	GTP|ic	PKM PKLR
289	MAR04290	ITP|e	IDP|e	ENTPD1 ENTPD3 ENTPD8
290	MAR04406	PRPP|ic	glutamate|ic	PPAT
291	MAR04406	PRPP|ic	5-phosphoribosylamine|ic	PPAT
292	MAR04406	glutamine|ic	glutamate|ic	PPAT
293	MAR04406	glutamine|ic	5-phosphoribosylamine|ic	PPAT
294	MAR04412	fumarate|ic	adenylosuccinate|ic	TNRC6B ADSL
295	MAR04417	IMP|ic	inosine|ic	ACP3 NT5C2 NT5C1A NT5C3A NT5C NT5E NT5C3B RBAK NT5C1B NT5M NT5C1B-RDH14
296	MAR04418	IMP|ic	PRPP|ic	HPRT1
