acetaldehyde|c	ethanol|c	ADH7 ADH4 ADH1A ZADH2 ADH5 ADHFE1 AKR1A1 CYP2E1 ADH1C ADH1B ADH6
acetyl-CoA|m	pyruvate|m	PDHA2 PDHB PDHA1 PDHX DLAT DLD
L-lactate|x	pyruvate|x	UEVLD LDHB LDHAL6A LDHAL6B LDHA LDHC
L-lactate|c	pyruvate|c	UEVLD LDHB CYB5D1 SLC16A5 SLC16A8 SLC16A6 SLC16A4 LDHAL6A LDHAL6B LDHA LDHD SLC16A3 LDHC SLC16A7 SLC16A1
acetaldehyde|c	acetate|c	ALDH1A3 ALDH3A1 ALDH3B2 ALDH3B1
acetaldehyde|m	acetate|m	ALDH3A2 ALDH2 ALDH9A1 ALDH1B1 ALDH7A1
fructose-1,6-bisphosphate|c	fructose-6-phosphate|c	PFKL PFKM PFKP FBP2 FBP1 CFAP410
DHAP|c	sedoheptulose-1,7-bisphosphate|c	 ALDOC ALDOA ALDOB
erythrose-4-phosphate|c	sedoheptulose-1,7-bisphosphate|c	 ALDOC ALDOA ALDOB
DHAP|c	erythrose-4-phosphate|c	 ALDOC ALDOA ALDOB
PEP|c	pyruvate|c	PKLR HCN3 PKM TMEM54
methylglyoxal|c	pyruvate|c	ZADH2
2-phospho-D-glycerate|c	PEP|c	ENO2 ENO3 ENO1
2-phospho-D-glycerate|c	3-phospho-D-glycerate|c	PGAM4 PGAM1 PGAM2 BPGM
1,3-bisphospho-D-glycerate|c	3-phospho-D-glycerate|c	MIA3 PGM2L1 CRISP3 ACYP1 ACYP2 PGK1 PGK2
1,3-bisphospho-D-glycerate|c	2,3-bisphospho-D-glycerate|c	PGAM4 PGAM1 PGAM2 BPGM
2,3-bisphospho-D-glycerate|c	3-phospho-D-glycerate|c	BPGM
1,3-bisphospho-D-glycerate|c	GAP|c	GAPDHS GAPDH
DHAP|c	GAP|c	 ALDOB ALDOC ALDOA TPI1
DHAP|c	fructose-1,6-bisphosphate|c	 ALDOB ALDOC ALDOA TPI1
GAP|c	fructose-1,6-bisphosphate|c	 ALDOB ALDOC ALDOA TPI1
fructose-6-phosphate|c	glucose-6-phosphate|c	GPI
glucose-6-phosphate|c	glucose|c	HK3 HK1 GCK ADPGK HKDC1 HK2
glucose-1-phosphate|c	glucose-6-phosphate|c	PGM2 PGM5 PGM1
glucose-6-phosphate|r	glucose|r	G6PC1 G6PC3 G6PC2
lipoamide|m	pyruvate|m	PDHB PDHA2 PDHA1
S-acetyldihydrolipoamide|m	lipoamide|m	PDHB PDHA2 PDHA1
S-acetyldihydrolipoamide|m	pyruvate|m	PDHB PDHA2 PDHA1
CoA|m	dihydrolipoamide|m	PDHB PDHA2 PDHA1 DLST DBT DLAT DLD
CoA|m	S-acetyldihydrolipoamide|m	PDHB PDHA2 PDHA1 DLST DBT DLAT DLD
acetyl-CoA|m	dihydrolipoamide|m	PDHB PDHA2 PDHA1 DLST DBT DLAT DLD
S-acetyldihydrolipoamide|m	dihydrolipoamide|m	PDHB PDHA2 PDHA1 DLST DBT DLAT DLD
S-acetyldihydrolipoamide|m	acetyl-CoA|m	PDHB PDHA2 PDHA1 DLST DBT DLAT DLD
beta-D-glucose|c	glucose|c	GALM
acetaldehyde|x	ethanol|x	CAT
NH3|r	glucose-6-phosphate|r	G6PC1 G6PC3 G6PC2
NH3|r	glucose|r	G6PC1 G6PC3 G6PC2
NH3|r	carbamoyl-phosphate|r	G6PC1 G6PC3 G6PC2
carbamoyl-phosphate|r	glucose-6-phosphate|r	G6PC1 G6PC3 G6PC2
carbamoyl-phosphate|r	glucose|r	G6PC1 G6PC3 G6PC2
glucose|e	maltose|e	GANC CAPN3 GAA AMY2B AMY1A SI MGAM LYZL1 AMY1B AMY1C AMY2A
UDP-glucose|c	UDP-glucuronate|c	UGDH
glucose|e	trehalose|e	PGGHG TREH
UDP-glucose|c	glycogenin|c	GYS2 GYS1 GYG1 GYG2
glycogenin G8|c	glycogenin|c	GYS2 GYS1 GYG1 GYG2
UDP-glucose|c	glycogenin G8|c	GYS2 GYS1 GYG1 GYG2
glycogenin G11|c	glycogenin G8|c	GYS2 GYS1 GYG1 GYG2
UDP-glucose|c	glycogenin G11|c	GYS2 GYS1 GYG1 GYG2
UDP-glucose|c	glycogen|c	PPP1R3C GYS2 GYS1 PPP1R3B
glycogenin G11|c	glycogenin G4G7|c	GBE1
glucose-1-phosphate|c	glycogenin G4G4|c	PYGL PYGM PYGB
glucose-1-phosphate|c	glycogenin G4G7|c	PYGL PYGM PYGB
glycogenin G4G4|c	glycogenin G4G7|c	PYGL PYGM PYGB
glycogenin G4G4|c	glycogenin G7G1|c	AGL
glycogenin G7G1|c	glycogenin G7|c	AGL
glucose|c	glycogenin G7G1|c	AGL
glucose|c	glycogenin G7|c	AGL
glucose-1-phosphate|c	glycogenin G7|c	PYGL PYGM PYGB
glucose-1-phosphate|c	glycogenin|c	PYGL PYGM PYGB
glycogenin G7|c	glycogenin|c	PYGL PYGM PYGB
fructose|c	maltononaose|c	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
maltodecaose|c	maltononaose|c	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
fructose|c	maltodecaose|c	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
glucose|e	maltononaose|e	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
glucose|e	maltodecaose|e	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
maltodecaose|e	maltononaose|e	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
maltoheptaose|c	maltononaose|c	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
fructose|c	maltoheptaose|c	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
glucose|e	maltoheptaose|e	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
maltoheptaose|e	maltononaose|e	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
fructose|c	maltohexaose|c	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
maltoheptaose|c	maltohexaose|c	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
maltoheptaose|e	maltohexaose|e	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
glucose|e	maltohexaose|e	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
fructose|c	maltopentaose|c	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
maltohexaose|c	maltopentaose|c	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
glucose|e	maltopentaose|e	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
maltohexaose|e	maltopentaose|e	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
fructose|c	maltotetraose|c	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
maltopentaose|c	maltotetraose|c	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
glucose|e	maltotetraose|e	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
maltopentaose|e	maltotetraose|e	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
maltotetraose|c	maltotriose|c	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
fructose|c	maltotriose|c	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
maltotetraose|e	maltotriose|e	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
glucose|e	maltotriose|e	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
maltose|e	maltotriose|e	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
glucose|c	maltotriose|c	GANC AMY2B AMY1A MGAM LYZL1 AMY1B AMY1C AMY2A
glucose|c	maltose|c	GANC AMY2B AMY1A MGAM LYZL1 AMY1B AMY1C AMY2A
maltose|c	maltotriose|c	GANC AMY2B AMY1A MGAM LYZL1 AMY1B AMY1C AMY2A
glucose|l	maltose|l	GAA
maltose|l	maltotriose|l	GAA
glucose|l	maltotriose|l	GAA
fructose|c	maltose|c	AMY2B AMY1A LYZL1 AMY1B AMY1C AMY2A
glucose|e	starch structure 2|e	SI MGAM
starch structure 1|e	starch structure 2|e	SI MGAM
glucose|e	starch structure 1|e	SI MGAM
maltose|e	starch structure 2|e	SI
3-phospho-D-glycerate|c	glucose-1-phosphate|c	PGM2L1
1,3-bisphospho-D-glycerate|c	glucose-1-phosphate|c	PGM2L1
glucose-1,6-bisphosphate|c	glucose-1-phosphate|c	PGM2L1
3-phospho-D-glycerate|c	glucose-1,6-bisphosphate|c	PGM2L1
1,3-bisphospho-D-glycerate|c	glucose-1,6-bisphosphate|c	PGM2L1
UDP-glucose|c	glucose-1-phosphate|c	ENPP3 GALT UGP2 ENPP1 NUDT14
UDP-galactose|c	UDP-glucose|c	GALT GALE
alpha-D-galactose-1-phosphate|c	galactose|c	GALK1 GALK2
alpha-D-galactose-1-phosphate|c	glucose-1-phosphate|c	GALT
UDP-galactose|c	glucose-1-phosphate|c	GALT
UDP-glucose|c	alpha-D-galactose-1-phosphate|c	GALT
UDP-galactose|c	alpha-D-galactose-1-phosphate|c	GALT
galactose-1-phosphate|c	glucose-1-phosphate|c	GALT
UDP-glucose|c	galactose-1-phosphate|c	GALT
UDP-galactose|c	galactose-1-phosphate|c	GALT
glucose|e	sucrose|e	SI GANC MGAM GAA
fructose|e	sucrose|e	SI GANC MGAM GAA
fructose|e	glucose|e	SI GANC MGAM GAA
galactose-1-phosphate|c	galactose|c	FAM227B GALK1 GALK2
glucose|e	lactose|e	GLB1L TMPPE LCT GLB1
galactose|e	glucose|e	GLB1L TMPPE LCT GLB1
galactose|e	lactose|e	GLB1L TMPPE LCT GLB1
galactose|e	galactosylglycerol|e	GLA RPL36A GLB1
galactose|e	glycerol|e	GLA RPL36A GLB1
galactosylglycerol|e	glycerol|e	GLA RPL36A GLB1
D-tagatose-6-phosphate|c	tagatose-1,6-bisphosphate|c	PFKM PFKL PFKP
IDP|c	ITP|c	PFKL HK3 HK1 UCK1 UCK2 NME3 NME2 NME7 PFKM NME4 NME6 HKDC1 HK2 NME5 PFKP NME1-NME2 NME1
ITP|c	tagatose-1,6-bisphosphate|c	PFKL HK3 HK1 UCK1 UCK2 NME3 NME2 NME7 PFKM NME4 NME6 HKDC1 HK2 NME5 PFKP NME1-NME2 NME1
D-tagatose-6-phosphate|c	ITP|c	PFKL HK3 HK1 UCK1 UCK2 NME3 NME2 NME7 PFKM NME4 NME6 HKDC1 HK2 NME5 PFKP NME1-NME2 NME1
IDP|c	tagatose-1,6-bisphosphate|c	PFKL HK3 HK1 UCK1 UCK2 NME3 NME2 NME7 PFKM NME4 NME6 HKDC1 HK2 NME5 PFKP NME1-NME2 NME1
D-tagatose-6-phosphate|c	IDP|c	PFKL HK3 HK1 UCK1 UCK2 NME3 NME2 NME7 PFKM NME4 NME6 HKDC1 HK2 NME5 PFKP NME1-NME2 NME1
3-ketolactose|e	lactose|e	
3-keto-beta-D-galactose|e	3-ketolactose|e	GLB1L TMPPE LCT GLB1
3-ketolactose|e	glucose|e	GLB1L TMPPE LCT GLB1
3-keto-beta-D-galactose|e	glucose|e	GLB1L TMPPE LCT GLB1
glucose|g	lactose|g	B4GALT1 LALBA B4GALT2
UDP-galactose|g	glucose|g	B4GALT1 LALBA B4GALT2
UDP-galactose|g	lactose|g	B4GALT1 LALBA B4GALT2
D-tagatose-6-phosphate|c	D-tagatose|c	KHK
DHAP|c	glyceraldehyde|c	 ALDOC ALDOA ALDOB
D-tagatose-6-phosphate|c	glyceraldehyde|c	 ALDOC ALDOA ALDOB
D-tagatose-6-phosphate|c	DHAP|c	 ALDOC ALDOA ALDOB
galactose|l	lactose|l	LCT
galactose|l	glucose|l	LCT
glucose|l	lactose|l	LCT
galactitol|c	galactose|c	AKR1B1 AKR1B10
GAP|c	glyceraldehyde|c	
fructose-2,6-bisphosphate|c	fructose-6-phosphate|c	TIGAR DLX4 PFKFB3 PFKFB2 PFKFB4 PFKFB1
fructose-1-phosphate|c	fructose|c	KHK
D-glucitol|c	fructose|c	SORD
D-glucitol|c	glucose|c	AKR1B1 AKR1B10
D-glucitol|c	sorbitol-3-phosphate|c	FN3KRP FN3K NOL9 FGGY FAM20B
fructose-3-phosphate|c	fructose|c	FN3KRP FN3K NOL9 FGGY FAM20B
fructose-6-phosphate|c	fructose|c	HKDC1 HK2 HK3 HK1
D-mannose-1,6-bisphosphate|c	mannose-1-phosphate|c	FN3KRP FN3K NOL9 FGGY FAM20B
fructose-1-phosphate|c	glyceraldehyde|c	 ALDOC ALDOA ALDOB
DHAP|c	fructose-1-phosphate|c	 ALDOC ALDOA ALDOB
fructose-6-phosphate|c	mannose-6-phosphate|c	MPI
mannose-1-phosphate|c	mannose-6-phosphate|c	PMM2 POLR3H PMM1
GDP-mannose|c	mannose-1-phosphate|c	AMIGO3 GMPPB RNF123 GMPPA
GDP-4-dehydro-6-deoxy-D-mannose|c	GDP-mannose|c	GMDS
GDP-4-dehydro-6-deoxy-D-mannose|c	GDP-L-fucose|c	GFUS
GDP-L-fucose|c	L-fucose-1-phosphate|c	TNNI3K FPGT FPGT-TNNI3K
6-deoxy-L-galactose|c	L-fucose-1-phosphate|c	FCSK
6-deoxy-L-galactose|c	L-fuculose|c	
mannose-6-phosphate|c	mannose|c	HKDC1 HK2 HK3 HK1
L-xylulose|c	xylitol|c	MECR DCXR PECR
D-xylose|c	xylitol|c	AKR1B1 AKR1B10
D-xylulose|c	xylitol|c	SORD
D-xylonolactone|c	D-xylose|c	DHDH
D-xylulose-5-phosphate|c	D-xylulose|c	XYLB
L-arabinose|c	L-arabitol|c	AKR1B1 AKR1A1 AKR7A2
L-arabitol|c	L-xylulose|c	
L-gulonate|r	glucuronate|r	AKR1A1
3-dehydro-L-gulonate|c	L-gulonate|c	CRYL1
3-dehydro-L-gulonate|c	L-xylulose|c	
D-ribulose|c	ribulose-5-phosphate|c	RBKS
D-glucuronate 1-phosphate|c	UDP-glucuronate|c	ALG5
D-glucuronate 1-phosphate|c	glucuronate|c	
UDP-glucuronate|c	glucuronate|c	UXS1
L-gulonate|c	glucuronate|c	AKR1A1
(R)-S-lactoylglutathione|c	GSH|c	GLO1 HAGHL ADH7 ADH4 ADH1A GLOD4 ADH5 ADHFE1 ADH1B ADH1C HAGH ADH6
GSH|c	methylglyoxal|c	GLO1 HAGHL ADH7 ADH4 ADH1A GLOD4 ADH5 ADHFE1 ADH1B ADH1C HAGH ADH6
(R)-S-lactoylglutathione|c	methylglyoxal|c	GLO1 HAGHL ADH7 ADH4 ADH1A GLOD4 ADH5 ADHFE1 ADH1B ADH1C HAGH ADH6
lactaldehyde|c	methylglyoxal|c	AKR1B1 AKR1B10
lactaldehyde|c	propane-1,2-diol|c	AKR1B1 AKR1B10 ADH7 ADH4 ADH1A ZADH2 ADH5 ADHFE1 ADH1C ADH1B ADH6
D-lactate|c	GSH|c	HAGHL HAGH
(R)-S-lactoylglutathione|c	D-lactate|c	HAGHL HAGH
D-lactate|c	ferricytochrome C|m	CYB5D1 COX4I2 COX6A2 COX7C UQCRC2 LDHD COX4I1 COX7B UQCRFS1 COX6B1 MT-CO3 UQCRB UQCR11 COX6C MT-CO2 COX7A1 MT-CO1 SUOX CYC1 COX7A2 COX8A UQCR10 COX5B COX6B2 COX8C UQCRC1 COX5A COX6A1 MT-CYB UQCRQ COX7B2 UQCRH
D-lactate|c	pyruvate|c	CYB5D1 COX4I2 COX6A2 COX7C UQCRC2 LDHD COX4I1 COX7B UQCRFS1 COX6B1 MT-CO3 UQCRB UQCR11 COX6C MT-CO2 COX7A1 MT-CO1 SUOX CYC1 COX7A2 COX8A UQCR10 COX5B COX6B2 COX8C UQCRC1 COX5A COX6A1 MT-CYB UQCRQ COX7B2 UQCRH
D-lactate|c	ferrocytochrome C|m	CYB5D1 COX4I2 COX6A2 COX7C UQCRC2 LDHD COX4I1 COX7B UQCRFS1 COX6B1 MT-CO3 UQCRB UQCR11 COX6C MT-CO2 COX7A1 MT-CO1 SUOX CYC1 COX7A2 COX8A UQCR10 COX5B COX6B2 COX8C UQCRC1 COX5A COX6A1 MT-CYB UQCRQ COX7B2 UQCRH
ferricytochrome C|m	pyruvate|c	CYB5D1 COX4I2 COX6A2 COX7C UQCRC2 LDHD COX4I1 COX7B UQCRFS1 COX6B1 MT-CO3 UQCRB UQCR11 COX6C MT-CO2 COX7A1 MT-CO1 SUOX CYC1 COX7A2 COX8A UQCR10 COX5B COX6B2 COX8C UQCRC1 COX5A COX6A1 MT-CYB UQCRQ COX7B2 UQCRH
ferricytochrome C|m	ferrocytochrome C|m	CYB5D1 COX4I2 COX6A2 COX7C UQCRC2 LDHD COX4I1 COX7B UQCRFS1 COX6B1 MT-CO3 UQCRB UQCR11 COX6C MT-CO2 COX7A1 MT-CO1 SUOX CYC1 COX7A2 COX8A UQCR10 COX5B COX6B2 COX8C UQCRC1 COX5A COX6A1 MT-CYB UQCRQ COX7B2 UQCRH
ferrocytochrome C|m	pyruvate|c	CYB5D1 COX4I2 COX6A2 COX7C UQCRC2 LDHD COX4I1 COX7B UQCRFS1 COX6B1 MT-CO3 UQCRB UQCR11 COX6C MT-CO2 COX7A1 MT-CO1 SUOX CYC1 COX7A2 COX8A UQCR10 COX5B COX6B2 COX8C UQCRC1 COX5A COX6A1 MT-CYB UQCRQ COX7B2 UQCRH
malate|m	pyruvate|m	ME3 ME2
malate|c	pyruvate|c	RWDD2A ME1
OAA|c	PEP|c	PCK1
OAA|m	PEP|m	PCK2
HCO3-|m	OAA|m	PC
HCO3-|m	pyruvate|m	PC
OAA|m	pyruvate|m	PC
hydroxyacetone|c	methylglyoxal|c	CYP2E1 AKR1B1 AKR1A1 AKR7A2
acetone|c	hydroxyacetone|c	CYP2E1
hydroxyacetone|c	propane-1,2-diol|c	AKR1B1 AKR1A1 AKR7A2
D-lactaldehyde|c	methylglyoxal|c	GRHPR
(R)-S-lactoylglutathione|c	D-lactaldehyde|c	ADH6 ADH7 ADH4 ADH1A ADH5 ADHFE1 ADH1C ADH1B
D-lactaldehyde|c	GSH|c	ADH6 ADH7 ADH4 ADH1A ADH5 ADHFE1 ADH1C ADH1B
L-lactate|c	lactaldehyde|c	ALDH3A2 ALDH3A1 ALDH9A1 ALDH1A3 ALDH3B1 ALDH3B2 ALDH7A1
D-lactaldehyde|c	D-lactate|c	ALDH3A2 ALDH2 ALDH9A1 ALDH1B1 ALDH7A1
L-lactate|m	lactaldehyde|m	ALDH3A2 ALDH2 ALDH9A1 ALDH1B1 ALDH7A1
D-lactaldehyde|c	propane-1,2-diol|c	AKR1B1 AKR7A2 ADH7 ADH4 ADH1A ZADH2 ADH5 ADHFE1 AKR1A1 ADH1C ADH1B ADH6
(R)-S-lactoylglutathione|m	GSH|m	HAGHL HAGH
(R)-S-lactoylglutathione|m	D-lactate|m	HAGHL HAGH
D-lactate|m	GSH|m	HAGHL HAGH
L-lactate|c	ferricytochrome C|m	CYB5D1 LDHD
L-lactate|c	ferrocytochrome C|m	CYB5D1 LDHD
DHAP|c	methylglyoxal|c	AUH
GAP|c	methylglyoxal|c	
L-lactate|m	pyruvate|m	UEVLD LDHB LDHAL6A LDHAL6B LDHA LDHC
CoA|c	propanoate|c	ACSS1 BAAT FASN ACOT2 ACOT9 CPT1B ACOT1 ACSS2 ACOT7 ACOT6 CPT1A CPT1C ACSS3 ACOT4
CoA|c	propanoyl-CoA|c	ACSS1 BAAT FASN ACOT2 ACOT9 CPT1B ACOT1 ACSS2 ACOT7 ACOT6 CPT1A CPT1C ACSS3 ACOT4
propanoate|c	propanoyl-CoA|c	ACSS1 BAAT FASN ACOT2 ACOT9 CPT1B ACOT1 ACSS2 ACOT7 ACOT6 CPT1A CPT1C ACSS3 ACOT4
FADH2|m	FAD|m	ACAA1 ACAD10 HSD17B10 ACADM ECHS1 ETFB ACOX1 SDHD SDHC ETFDH HADHA SDHB HADHB ACADS GPD2 DMGDH ACAA2 PRODH2 CHDH ACAD11 ETFA SARDH ACADVL ACADL HADH GCDH ACAD8 PRODH ACAD9 ACADSB SDHA
FAD|m	propanoyl-CoA|m	ACAA1 ACAD10 HSD17B10 ACADM ECHS1 ETFB ACOX1 SDHD SDHC ETFDH HADHA SDHB HADHB ACADS GPD2 DMGDH ACAA2 PRODH2 CHDH ACAD11 ETFA SARDH ACADVL ACADL HADH GCDH ACAD8 PRODH ACAD9 ACADSB SDHA
FAD|m	acrylyl-CoA|m	ACAA1 ACAD10 HSD17B10 ACADM ECHS1 ETFB ACOX1 SDHD SDHC ETFDH HADHA SDHB HADHB ACADS GPD2 DMGDH ACAA2 PRODH2 CHDH ACAD11 ETFA SARDH ACADVL ACADL HADH GCDH ACAD8 PRODH ACAD9 ACADSB SDHA
